Period,Shop,Category,Drink,Quantity,Net Revenue,Gross Sales,Discounts,Transactions,Avg Price
Current 3M,Carlow,Acai bowls & Smoothies,Classic acai,1286.0,11252.23,11252.23,-286.88,1160,8.75
Current 3M,Carlow,Coffee & more,Americano,61.0,212.62,212.62,-0.88,59,3.49
Current 3M,Carlow,Coffee & more,Bueno iced latte,248.0,1359.47,1359.47,-61.7,226,5.48
Current 3M,Carlow,Coffee & more,Cappuccino,86.0,329.96,329.96,-34.84,81,3.84
Current 3M,Carlow,Coffee & more,Double Espresso,4.0,14.0,14.0,0.0,4,3.5
Current 3M,Carlow,Coffee & more,Espresso,5.0,12.5,12.5,0.0,5,2.5
Current 3M,Carlow,Coffee & more,Flat white,24.0,90.6,90.6,0.0,21,3.77
Current 3M,Carlow,Coffee & more,Hot Choc,3.0,12.15,12.15,0.0,3,4.05
Current 3M,Carlow,Coffee & more,Iced Americano,4.0,15.41,18.95,0.0,3,3.85
Current 3M,Carlow,Coffee & more,Iced Latte,113.0,506.33,506.33,-44.86,105,4.48
Current 3M,Carlow,Coffee & more,Iced caramel latte,423.0,2275.83,2275.83,-104.04,396,5.38
Current 3M,Carlow,Coffee & more,Latte,108.0,452.44,452.44,-7.16,104,4.19
Current 3M,Carlow,Coffee & more,"Oat, Coconut Milk",1.0,0.49,0.6,0.0,1,0.49
Current 3M,Carlow,Coffee & more,Pistachio latte,13.0,65.59,65.59,-11.49,10,5.05
Current 3M,Carlow,Coffee & more,Tea,24.0,60.0,60.0,0.0,22,2.5
Current 3M,Carlow,Coffee & more,Toasted brown sugar,225.0,1025.15,1025.15,-228.6,216,4.56
Current 3M,Carlow,Coffee & more,White chocolate mocha,245.0,1303.2,1303.2,-76.47,238,5.32
Current 3M,Carlow,Fruit tea,Apple Soda,23.0,99.46,122.37,-3.17,22,4.32
Current 3M,Carlow,Fruit tea,Apple lemonade tea,103.0,424.47,522.35,-14.05,98,4.12
Current 3M,Carlow,Fruit tea,Mango Passion Lemonade,729.0,3112.86,3829.35,-70.03,691,4.27
Current 3M,Carlow,Fruit tea,Mango Soda,2.0,7.56,9.3,0.0,2,3.78
Current 3M,Carlow,Fruit tea,Strawberry Lemonade,354.0,1479.17,1819.56,-36.84,328,4.18
Current 3M,Carlow,Fruit tea,Strawberry Nojito,35.0,151.84,186.73,-6.9,34,4.34
Current 3M,Carlow,Fruit tea,Strawberry Passion lemonade,166.0,713.41,877.51,-55.28,147,4.3
Current 3M,Carlow,Fruit tea,Watermelon Lemonade,312.0,1314.05,1616.36,-20.65,288,4.21
Current 3M,Carlow,Milk tea,Bueno Bliss Boba,287.0,1558.16,1558.16,-18.17,262,5.43
Current 3M,Carlow,Milk tea,Earl Grey,24.0,133.24,133.24,-1.51,18,5.55
Current 3M,Carlow,Milk tea,Matcha Latte,25.0,123.67,123.67,-19.08,25,4.95
Current 3M,Carlow,Milk tea,Original milk tea,256.0,1383.92,1383.92,-29.87,218,5.41
Current 3M,Carlow,Milk tea,Pistachio Crunch Matcha,12.0,66.7,66.7,0.0,12,5.56
Current 3M,Carlow,Milk tea,Strawberry Sunset,241.0,1312.45,1312.45,-31.12,231,5.45
Current 3M,Carlow,Milk tea,Strawberry milk tea,36.0,177.65,177.65,-7.76,32,4.93
Current 3M,Carlow,Milk tea,Taro milk tea,174.0,957.93,957.93,-2.52,150,5.51
Current 3M,Carlow,Milk tea,Tiger Milk,182.0,1003.87,1003.87,-21.76,166,5.52
Current 3M,Carlow,Milk tea,Vanilla Matcha,404.0,2366.91,2366.91,-10.42,360,5.86
Current 3M,Carlow,Namo Plus,Starboy,595.0,2454.64,3020.56,-33.04,529,4.13
Current 3M,Carlow,Namo Plus Extras,Large,1.0,0.9,0.9,0.0,1,0.9
Current 3M,Carlow,Smoothies,Mango Passionfruit smoothie,285.0,1619.82,1619.82,-35.38,267,5.68
Current 3M,Carlow,Smoothies,Strawberry Dream,278.0,1593.11,1593.11,-9.64,261,5.73
Current 3M,Carlow,Specials,Cinema deal (mon - wed),3.0,42.29,48.0,0.0,2,14.1
Current 3M,Carlow,Specials,Loaded Chipotle Wedges,127.0,1527.37,1729.11,-55.39,120,12.03
Current 3M,Carlow,Specials,Pistachio Crunch Latte,1.0,5.8,5.8,0.0,1,5.8
Current 3M,Carlow,Specials,Piñalada,3.0,14.54,14.54,-2.81,3,4.85
Current 3M,Carlow,Specials,Quesadilla,277.0,3163.44,3586.43,-80.27,263,11.42
Current 3M,Carlow,Specials,Strawberry Matcha,23.0,128.53,128.53,-7.47,22,5.59
Current 3M,Carlow,Specials,Strawberry Oat Matcha,252.0,1425.73,1425.73,-28.9,238,5.66
Current 3M,Carlow,Specials,White Choc Matcha,153.0,907.72,907.72,-3.45,135,5.93
Current 3M,Clonmel,Acai bowls & Smoothies,Classic acai,1257.0,11094.07,11094.07,-102.29,1095,8.83
Current 3M,Clonmel,Coffee & more,3€ Coffee,8.0,24.0,24.0,0.0,8,3.0
Current 3M,Clonmel,Coffee & more,Americano,68.0,239.2,239.2,0.0,66,3.52
Current 3M,Clonmel,Coffee & more,Bueno iced latte,169.0,967.65,967.65,0.0,150,5.73
Current 3M,Clonmel,Coffee & more,Cappuccino,123.0,512.87,512.87,-5.83,113,4.17
Current 3M,Clonmel,Coffee & more,Chai latte,2.0,9.3,9.3,0.0,2,4.65
Current 3M,Clonmel,Coffee & more,Espresso,2.0,5.0,5.0,0.0,2,2.5
Current 3M,Clonmel,Coffee & more,Flat white,39.0,152.51,152.51,-0.94,39,3.91
Current 3M,Clonmel,Coffee & more,Hot Choc,5.0,20.85,20.85,0.0,4,4.17
Current 3M,Clonmel,Coffee & more,Iced Americano,8.0,27.99,34.45,-1.05,8,3.5
Current 3M,Clonmel,Coffee & more,Iced Latte,45.0,205.73,205.73,-10.12,44,4.57
Current 3M,Clonmel,Coffee & more,Iced caramel latte,280.0,1564.65,1564.65,-13.22,265,5.59
Current 3M,Clonmel,Coffee & more,Latte,92.0,392.73,392.73,-3.07,88,4.27
Current 3M,Clonmel,Coffee & more,Pistachio latte,28.0,162.48,162.48,-1.45,27,5.8
Current 3M,Clonmel,Coffee & more,Tea,17.0,43.1,43.1,0.0,16,2.54
Current 3M,Clonmel,Coffee & more,Toasted brown sugar,44.0,242.0,242.0,-5.1,37,5.5
Current 3M,Clonmel,Coffee & more,White chocolate mocha,125.0,698.57,698.57,-5.79,121,5.59
Current 3M,Clonmel,Fruit tea,Apple Soda,11.0,47.89,58.93,0.0,10,4.35
Current 3M,Clonmel,Fruit tea,Apple lemonade tea,51.0,210.82,259.45,0.0,48,4.13
Current 3M,Clonmel,Fruit tea,Mango Passion Lemonade,339.0,1458.76,1794.46,-41.31,315,4.3
Current 3M,Clonmel,Fruit tea,Mango Soda,1.0,3.78,4.65,0.0,1,3.78
Current 3M,Clonmel,Fruit tea,Strawberry Lemonade,231.0,978.61,1203.79,-11.26,214,4.24
Current 3M,Clonmel,Fruit tea,Strawberry Nojito,41.0,182.61,224.63,-15.42,37,4.45
Current 3M,Clonmel,Fruit tea,Strawberry Passion lemonade,59.0,267.46,329.02,-3.63,56,4.53
Current 3M,Clonmel,Fruit tea,Watermelon Lemonade,236.0,998.57,1228.35,-7.25,220,4.23
Current 3M,Clonmel,Milk tea,Bueno Bliss Boba,200.0,1084.9,1084.9,-10.71,182,5.42
Current 3M,Clonmel,Milk tea,Matcha Latte,6.0,30.9,30.9,0.0,6,5.15
Current 3M,Clonmel,Milk tea,Original milk tea,163.0,900.62,900.62,-17.45,150,5.53
Current 3M,Clonmel,Milk tea,Pistachio Crunch Matcha,23.0,145.42,145.42,-1.52,23,6.32
Current 3M,Clonmel,Milk tea,Strawberry Sunset,211.0,1194.83,1194.83,-2.8,198,5.66
Current 3M,Clonmel,Milk tea,Strawberry milk tea,31.0,162.86,162.86,-2.77,26,5.25
Current 3M,Clonmel,Milk tea,Taro milk tea,86.0,488.95,488.95,-3.0,80,5.69
Current 3M,Clonmel,Milk tea,Tiger Milk,154.0,862.99,862.99,-4.6,130,5.6
Current 3M,Clonmel,Milk tea,Vanilla Matcha,110.0,605.91,605.91,-5.75,107,5.51
Current 3M,Clonmel,Namo Plus,Starboy,292.0,1211.49,1490.87,-13.82,265,4.15
Current 3M,Clonmel,Smoothies,Mango Passionfruit smoothie,105.0,594.72,594.72,-14.99,92,5.66
Current 3M,Clonmel,Smoothies,Strawberry Dream,202.0,1155.0,1155.0,-8.64,195,5.72
Current 3M,Clonmel,Specials,Loaded Chipotle Wedges,53.0,618.51,700.48,-15.22,49,11.67
Current 3M,Clonmel,Specials,Piñalada,3.0,17.35,17.35,0.0,3,5.78
Current 3M,Clonmel,Specials,Quesadilla,121.0,1383.0,1565.81,-35.09,118,11.43
Current 3M,Clonmel,Specials,Strawberry Matcha,22.0,129.35,129.35,0.0,21,5.88
Current 3M,Clonmel,Specials,Strawberry Oat Matcha,178.0,1001.4,1001.4,-25.99,168,5.63
Current 3M,Clonmel,Specials,White Choc Matcha,184.0,1022.61,1022.61,-14.49,168,5.56
Current 3M,Kilkenny Mexican,Milk tea,Taro milk tea,1.0,5.05,5.05,0.0,1,5.05
Current 3M,Kilkenny Mexican,Namo Plus,Starboy,3.0,13.9,17.1,0.0,2,4.63
Current 3M,Kilkenny Mexican,Specials,Cinema deal (mon - wed),8.0,120.49,136.75,0.0,5,15.06
Current 3M,Kilkenny Mexican,Specials,Loaded Chipotle Wedges,77.0,961.01,1089.02,-3.28,72,12.48
Current 3M,Kilkenny Mexican,Specials,Quesadilla,173.0,2008.8,2272.83,-37.52,141,11.61
Current 3M,Kilkenny Plus,Acai bowls & Smoothies,Classic acai,1435.0,12256.05,12256.05,-426.6,1289,8.54
Current 3M,Kilkenny Plus,Acai bowls & Smoothies,MangoLoco,39.0,332.7,332.7,-17.8,31,8.53
Current 3M,Kilkenny Plus,Acai bowls & Smoothies,Medium Acai Bowl,165.0,1387.47,1387.47,-4.03,140,8.41
Current 3M,Kilkenny Plus,Coffee & more,Americano,28.0,88.1,88.1,-10.5,27,3.15
Current 3M,Kilkenny Plus,Coffee & more,Bueno iced latte,210.0,1064.89,1064.89,-91.26,189,5.07
Current 3M,Kilkenny Plus,Coffee & more,Cappuccino,37.0,145.48,145.48,-9.22,34,3.93
Current 3M,Kilkenny Plus,Coffee & more,Flat white,12.0,46.8,46.8,0.0,11,3.9
Current 3M,Kilkenny Plus,Coffee & more,Hot Choc,2.0,8.1,8.1,0.0,2,4.05
Current 3M,Kilkenny Plus,Coffee & more,Iced Americano,3.0,10.23,12.6,0.0,3,3.41
Current 3M,Kilkenny Plus,Coffee & more,Iced Latte,55.0,200.89,200.89,-48.1,53,3.65
Current 3M,Kilkenny Plus,Coffee & more,Iced caramel latte,234.0,1188.85,1188.85,-80.86,214,5.08
Current 3M,Kilkenny Plus,Coffee & more,Latte,36.0,110.2,110.2,-45.2,35,3.06
Current 3M,Kilkenny Plus,Coffee & more,"Oat, Coconut Milk",1.0,0.49,0.6,0.0,1,0.49
Current 3M,Kilkenny Plus,Coffee & more,OrangeEspresso,2.0,0.0,0.0,-8.6,2,0.0
Current 3M,Kilkenny Plus,Coffee & more,Pistachio latte,3.0,9.7,9.7,-4.85,3,3.23
Current 3M,Kilkenny Plus,Coffee & more,Tea,2.0,5.0,5.0,0.0,2,2.5
Current 3M,Kilkenny Plus,Coffee & more,Toasted brown sugar,102.0,567.41,567.41,-10.2,94,5.56
Current 3M,Kilkenny Plus,Coffee & more,White chocolate mocha,70.0,324.2,324.2,-51.6,68,4.63
Current 3M,Kilkenny Plus,Fruit tea,Apple Soda,16.0,65.62,80.75,0.0,15,4.1
Current 3M,Kilkenny Plus,Fruit tea,Apple lemonade tea,121.0,486.77,599.0,-14.25,119,4.02
Current 3M,Kilkenny Plus,Fruit tea,Mango Passion Lemonade,521.0,2168.02,2667.2,-40.8,468,4.16
Current 3M,Kilkenny Plus,Fruit tea,Mango Soda,3.0,12.11,14.9,0.0,3,4.04
Current 3M,Kilkenny Plus,Fruit tea,Strawberry Lemonade,585.0,2401.53,2954.62,-62.63,521,4.11
Current 3M,Kilkenny Plus,Fruit tea,Strawberry Lemonade (Voided),2.0,0.0,0.0,0.0,2,0.0
Current 3M,Kilkenny Plus,Fruit tea,Strawberry Nojito,11.0,33.41,41.1,-14.7,10,3.04
Current 3M,Kilkenny Plus,Fruit tea,Strawberry Passion lemonade,176.0,766.22,942.59,-13.61,157,4.35
Current 3M,Kilkenny Plus,Fruit tea,Strawberry Passion lemonade (Voided),1.0,0.0,0.0,0.0,1,0.0
Current 3M,Kilkenny Plus,Fruit tea,Watermelon Lemonade,274.0,1114.31,1371.0,-23.75,261,4.07
Current 3M,Kilkenny Plus,Fruit tea,Watermelon Lemonade (Voided),2.0,0.0,0.0,0.0,2,0.0
Current 3M,Kilkenny Plus,Milk tea,Bueno Bliss Boba,267.0,1428.3,1428.3,-11.15,237,5.35
Current 3M,Kilkenny Plus,Milk tea,HoneyDew Milk Tea,37.0,191.31,191.31,-1.19,33,5.17
Current 3M,Kilkenny Plus,Milk tea,Mango Milk Tea,2.0,11.4,11.4,0.0,2,5.7
Current 3M,Kilkenny Plus,Milk tea,Matcha Latte,80.0,363.86,363.86,-65.09,73,4.55
Current 3M,Kilkenny Plus,Milk tea,Original milk tea,328.0,1814.77,1814.77,-23.98,296,5.53
Current 3M,Kilkenny Plus,Milk tea,Pistachio Crunch Matcha,19.0,100.41,100.41,-5.75,18,5.28
Current 3M,Kilkenny Plus,Milk tea,Strawberry Sunset,456.0,2465.55,2465.55,-24.6,420,5.41
Current 3M,Kilkenny Plus,Milk tea,Strawberry milk tea,68.0,338.1,338.1,-4.75,66,4.97
Current 3M,Kilkenny Plus,Milk tea,Taro milk tea,209.0,1126.03,1126.03,-13.88,183,5.39
Current 3M,Kilkenny Plus,Milk tea,Taro milk tea (Voided),1.0,0.0,0.0,0.0,1,0.0
Current 3M,Kilkenny Plus,Milk tea,Tiger Milk,249.0,1382.52,1382.52,-5.09,230,5.55
Current 3M,Kilkenny Plus,Milk tea,Vanilla Matcha,169.0,888.4,888.4,-36.05,158,5.26
Current 3M,Kilkenny Plus,Namo Plus,Starboy,959.0,3883.0,4778.14,-73.88,847,4.05
Current 3M,Kilkenny Plus,Namo Plus,Starboy (Voided),1.0,0.0,0.0,0.0,1,0.0
Current 3M,Kilkenny Plus,Smoothies,Dragonfruit Strawberry,4.0,23.0,23.0,0.0,4,5.75
Current 3M,Kilkenny Plus,Smoothies,Mango Passionfruit smoothie,148.0,786.46,786.46,-66.13,138,5.31
Current 3M,Kilkenny Plus,Smoothies,Strawberry Dream,121.0,668.99,668.99,-27.31,111,5.53
Current 3M,Kilkenny Plus,Specials,Strawberry Matcha,14.0,71.0,71.0,-5.15,12,5.07
Current 3M,Kilkenny Plus,Specials,Strawberry Oat Matcha,247.0,1292.2,1292.2,-93.55,233,5.23
Current 3M,Kilkenny Plus,Specials,White Choc Matcha,81.0,377.82,377.82,-68.16,79,4.66
Current 3M,Portlaoise,Acai bowls & Smoothies,5€ Student acai,40.0,201.8,201.8,0.0,35,5.04
Current 3M,Portlaoise,Acai bowls & Smoothies,Classic acai,1360.0,11926.31,11926.31,-211.07,1140,8.77
Current 3M,Portlaoise,Coffee & more,Americano,100.0,339.04,339.04,-10.96,92,3.39
Current 3M,Portlaoise,Coffee & more,Bueno iced latte,196.0,1075.95,1075.95,-28.31,173,5.49
Current 3M,Portlaoise,Coffee & more,Cappuccino,87.0,356.36,356.36,-5.74,78,4.1
Current 3M,Portlaoise,Coffee & more,Double Espresso,2.0,7.0,7.0,0.0,2,3.5
Current 3M,Portlaoise,Coffee & more,Espresso,9.0,22.5,22.5,0.0,9,2.5
Current 3M,Portlaoise,Coffee & more,Flat white,18.0,68.1,68.1,0.0,18,3.78
Current 3M,Portlaoise,Coffee & more,Hot Choc,7.0,18.7,18.7,-14.65,7,2.67
Current 3M,Portlaoise,Coffee & more,Iced Americano,7.0,25.91,31.9,0.0,7,3.7
Current 3M,Portlaoise,Coffee & more,Iced Latte,57.0,213.6,213.6,-58.01,56,3.75
Current 3M,Portlaoise,Coffee & more,Iced caramel latte,272.0,1385.13,1385.13,-115.52,235,5.09
Current 3M,Portlaoise,Coffee & more,Latte,73.0,301.28,301.28,-8.82,67,4.13
Current 3M,Portlaoise,Coffee & more,"Oat, Coconut Milk",1.0,0.49,0.6,0.0,1,0.49
Current 3M,Portlaoise,Coffee & more,Pistachio latte,12.0,60.95,60.95,-5.9,12,5.08
Current 3M,Portlaoise,Coffee & more,Tea,52.0,130.6,130.6,0.0,46,2.51
Current 3M,Portlaoise,Coffee & more,Toasted brown sugar,94.0,526.77,526.77,-2.04,92,5.6
Current 3M,Portlaoise,Coffee & more,White chocolate mocha,109.0,584.75,584.75,-12.23,102,5.36
Current 3M,Portlaoise,Fruit tea,Apple Soda,20.0,85.83,105.62,-1.19,18,4.29
Current 3M,Portlaoise,Fruit tea,Apple lemonade tea,66.0,272.4,335.21,-10.41,62,4.13
Current 3M,Portlaoise,Fruit tea,Mango Passion Lemonade,444.0,1893.75,2329.49,-18.24,394,4.27
Current 3M,Portlaoise,Fruit tea,Strawberry Lemonade,365.0,1346.86,1656.86,-239.56,339,3.69
Current 3M,Portlaoise,Fruit tea,Strawberry Nojito,27.0,114.97,141.43,-6.08,23,4.26
Current 3M,Portlaoise,Fruit tea,Strawberry Passion lemonade,74.0,325.36,400.17,-7.75,72,4.4
Current 3M,Portlaoise,Fruit tea,Watermelon Lemonade,198.0,836.44,1028.89,-9.4,185,4.22
Current 3M,Portlaoise,Milk tea,Bueno Bliss Boba,196.0,1044.99,1044.99,-33.34,179,5.33
Current 3M,Portlaoise,Milk tea,Earl Grey,24.0,132.85,132.85,0.0,23,5.54
Current 3M,Portlaoise,Milk tea,Matcha Latte,11.0,41.84,41.84,-16.4,11,3.8
Current 3M,Portlaoise,Milk tea,Original milk tea,178.0,994.53,994.53,-5.99,150,5.59
Current 3M,Portlaoise,Milk tea,Pistachio Crunch Matcha,30.0,165.26,165.26,0.0,26,5.51
Current 3M,Portlaoise,Milk tea,Strawberry Sunset,142.0,786.91,786.91,-8.97,135,5.54
Current 3M,Portlaoise,Milk tea,Strawberry milk tea,8.0,36.04,36.04,-4.89,8,4.5
Current 3M,Portlaoise,Milk tea,Taro milk tea,92.0,498.35,498.35,-2.16,88,5.42
Current 3M,Portlaoise,Milk tea,Tiger Milk,111.0,612.08,612.08,-10.77,106,5.51
Current 3M,Portlaoise,Milk tea,Vanilla Matcha,223.0,1258.85,1258.85,-4.04,211,5.65
Current 3M,Portlaoise,Namo Plus,Starboy,350.0,1463.0,1800.26,-19.46,311,4.18
Current 3M,Portlaoise,Namo Plus Extras,Large,1.0,0.9,0.9,0.0,1,0.9
Current 3M,Portlaoise,Smoothies,Mango Passionfruit smoothie,149.0,851.02,851.02,-13.71,140,5.71
Current 3M,Portlaoise,Smoothies,Strawberry Dream,116.0,668.57,668.57,-2.19,114,5.76
Current 3M,Portlaoise,Specials,Loaded Chipotle Wedges,71.0,700.26,793.52,-147.53,66,9.86
Current 3M,Portlaoise,Specials,Pistachio Crunch Latte,1.0,4.85,4.85,0.0,1,4.85
Current 3M,Portlaoise,Specials,Quesadilla,178.0,1990.84,2254.75,-120.4,168,11.18
Current 3M,Portlaoise,Specials,Strawberry Matcha,6.0,33.05,33.05,0.0,6,5.51
Current 3M,Portlaoise,Specials,Strawberry Oat Matcha,119.0,665.34,665.34,-6.65,112,5.59
Current 3M,Portlaoise,Specials,White Choc Matcha,103.0,572.02,572.02,-3.85,98,5.55
Current 3M,Waterfordd,Acai bowls & Smoothies,Classic acai,473.0,4095.0,4095.0,-96.86,408,8.66
Current 3M,Waterfordd,Coffee & more,Americano,46.0,156.62,156.62,-4.38,43,3.4
Current 3M,Waterfordd,Coffee & more,Bueno iced latte,131.0,701.6,701.6,-21.84,126,5.36
Current 3M,Waterfordd,Coffee & more,Cappuccino,39.0,161.1,161.1,0.0,36,4.13
Current 3M,Waterfordd,Coffee & more,Espresso,3.0,5.0,5.0,-2.5,3,1.67
Current 3M,Waterfordd,Coffee & more,Flat white,16.0,60.6,60.6,0.0,15,3.79
Current 3M,Waterfordd,Coffee & more,Hot Choc,4.0,12.15,12.15,-4.05,4,3.04
Current 3M,Waterfordd,Coffee & more,Iced Americano,5.0,17.05,21.0,0.0,5,3.41
Current 3M,Waterfordd,Coffee & more,Iced Latte,29.0,122.17,122.17,-18.48,29,4.21
Current 3M,Waterfordd,Coffee & more,Iced caramel latte,73.0,385.66,385.66,-17.29,71,5.28
Current 3M,Waterfordd,Coffee & more,Latte,37.0,152.4,152.4,-4.1,32,4.12
Current 3M,Waterfordd,Coffee & more,Pistachio latte,1.0,5.3,5.3,0.0,1,5.3
Current 3M,Waterfordd,Coffee & more,Tea,11.0,27.5,27.5,0.0,11,2.5
Current 3M,Waterfordd,Coffee & more,Toasted brown sugar,120.0,656.1,656.1,0.0,105,5.47
Current 3M,Waterfordd,Coffee & more,White chocolate mocha,49.0,273.54,273.54,-1.51,47,5.58
Current 3M,Waterfordd,Fruit tea,Apple Soda,20.0,87.21,107.3,-1.19,19,4.36
Current 3M,Waterfordd,Fruit tea,Apple lemonade tea,65.0,265.4,326.61,-5.23,63,4.08
Current 3M,Waterfordd,Fruit tea,Mango Passion Lemonade,316.0,1345.57,1655.26,-12.37,287,4.26
Current 3M,Waterfordd,Fruit tea,Strawberry Lemonade,326.0,1383.29,1701.68,-4.14,302,4.24
Current 3M,Waterfordd,Fruit tea,Strawberry Nojito,15.0,65.44,80.49,-2.68,14,4.36
Current 3M,Waterfordd,Fruit tea,Strawberry Passion lemonade,55.0,242.89,298.75,0.0,50,4.42
Current 3M,Waterfordd,Fruit tea,Watermelon Lemonade,162.0,706.17,868.66,-1.21,150,4.36
Current 3M,Waterfordd,Milk tea,Bueno Bliss Boba,148.0,808.9,808.9,0.0,136,5.47
Current 3M,Waterfordd,Milk tea,Matcha Latte,11.0,54.69,54.69,-5.95,11,4.97
Current 3M,Waterfordd,Milk tea,Original milk tea,77.0,425.56,425.56,-7.89,69,5.53
Current 3M,Waterfordd,Milk tea,Pistachio Crunch Matcha,6.0,31.07,31.07,-2.58,5,5.18
Current 3M,Waterfordd,Milk tea,Strawberry Sunset,104.0,570.79,570.79,0.0,99,5.49
Current 3M,Waterfordd,Milk tea,Strawberry milk tea,11.0,58.35,58.35,0.0,10,5.3
Current 3M,Waterfordd,Milk tea,Taro milk tea,57.0,318.18,318.18,-2.52,53,5.58
Current 3M,Waterfordd,Milk tea,Tiger Milk,28.0,159.68,159.68,0.0,28,5.7
Current 3M,Waterfordd,Milk tea,Vanilla Matcha,24.0,128.81,128.81,-4.39,21,5.37
Current 3M,Waterfordd,Namo Plus,Starboy,268.0,1106.07,1361.06,-2.61,245,4.13
Current 3M,Waterfordd,Smoothies,Mango Passionfruit smoothie,85.0,487.83,487.83,-5.75,80,5.74
Current 3M,Waterfordd,Smoothies,Strawberry Dream,151.0,864.82,864.82,-7.19,142,5.73
Current 3M,Waterfordd,Specials,Loaded Chipotle Wedges,90.0,1041.54,1180.85,-23.8,89,11.57
Current 3M,Waterfordd,Specials,Quesadilla,260.0,2937.72,3324.12,-55.28,245,11.3
Current 3M,Waterfordd,Specials,Strawberry Matcha,13.0,73.75,73.75,0.0,13,5.67
Current 3M,Waterfordd,Specials,Strawberry Oat Matcha,118.0,646.47,646.47,-0.52,113,5.48
Current 3M,Waterfordd,Specials,White Choc Matcha,207.0,1155.54,1155.54,-8.25,192,5.58
Current Oct-Mar,Carlow,Acai bowls & Smoothies,Classic acai,1583.0,13585.78,13585.78,-208.37,1427,8.58
Current Oct-Mar,Carlow,Acai bowls & Smoothies,MangoLoco,165.0,1480.1,1480.1,-8.9,158,8.97
Current Oct-Mar,Carlow,Coffee & more,Americano,149.0,506.93,506.93,-15.77,138,3.4
